,address,company,company_link,educational,experience,info_link,name,publish_time,salary,work_place,work_type
19,"[徐汇区宜山路889号齐来大厦21F                                        (邮编：200233)
                            ]",上海天戏互娱科技股份有限公司,https://jobs.51job.com/all/co3850817.html,大专,3-4年经验,https://jobs.51job.com/beijing-cyq/89580604.html?s=01&t=0,服务器工程师(python、php),06-02,1-1.5万/月,上海-徐汇区,高级软件工程师
20,"[锦业路69号创业研发园瞪羚谷A座9层                                        (邮编：710075)
                            ]",西安图迹信息科技有限公司,https://jobs.51job.com/all/co3908802.html,招若干人,2年经验,https://jobs.51job.com/hangzhou-xhq/85894249.html?s=01&t=0,Python开发,06-02,4-8千/月,西安-高新技术...,软件工程师
21,"[深圳市福田区滨河大道5022号联合广场A座41楼；                                        (邮编：518033)
                            ]",美皇贸易（深圳）有限公司,https://jobs.51job.com/all/co939538.html,本科,1年经验,https://jobs.51job.com/beijing-hdq/59465911.html?s=01&t=0,Python程序员,06-02,0.8-1.2万/月,深圳-福田区,软件工程师
22,"[深圳市                                        (邮编：518000)
                            ]",深圳市文言科技发展有限公司,https://jobs.51job.com/all/co5023630.html,本科,2年经验,https://jobs.51job.com/shanghai-pdxq/98263743.html?s=01&t=0,Python开发工程师（初级）,06-02,5.5-7千/月,深圳,小学教师
23,"[上海市浦东新区晨晖路88弄                                        (邮编：201203)
                            ]",奕诊（上海）医疗咨询有限公司,https://jobs.51job.com/all/co4572366.html,本科,3-4年经验,https://jobs.51job.com/beijing-xcq/102913878.html?s=01&t=0,Python 开发,06-02,2.5-3万/月,上海-徐汇区,软件工程师
24,"[静安区铜仁路258号金座9C                                        (邮编：200040)
                            ]",上海网元电子商务有限公司,https://jobs.51job.com/all/co3174448.html,本科,2年经验,https://jobs.51job.com/beijing-cyq/98239300.html?s=01&t=0,Python高级开发工程师,06-02,1-2万/月,上海-静安区,系统集成工程师
25,"[拱墅区余杭塘路515号矩阵国际4幢805                                        (邮编：310000)
                            ]",浙江量道投资管理有限公司,https://jobs.51job.com/all/co4708362.html,本科,无工作经验,https://jobs.51job.com/beijing/102910262.html?s=01&t=0,python工程师 JD,06-02,1-1.5万/月,杭州-拱墅区,互联网软件开发工程师
26,"[天津市和平区南京路305号616室                                        (邮编：300103)
                            ]",天津优姆金机械销售有限公司,https://jobs.51job.com/all/co4618651.html,本科,3-4年经验,https://jobs.51job.com/shenyang-hnq/102937309.html?s=01&t=0,Python工程师,06-02,0.8-1万/月,天津-和平区,高级软件工程师
27,"[高新区竹园路209号苏州创业园1号楼C3036-C3040                                        (邮编：215000)
                            ]",苏州智客信息科技有限公司,https://jobs.51job.com/all/co5058947.html,招3人,无工作经验,https://jobs.51job.com/shanghai-jaq/102929176.html?s=01&t=0,python运维开发工程师,06-02,0.8-1万/月,苏州-高新区,高级软件工程师
28,"[北京市海淀区宝盛北里西区28号（郑州分公司二七区）                                        (邮编：100000)
                            ]",北京欣如信科技有限公司,https://jobs.51job.com/all/co4957394.html,招3人,无工作经验,https://jobs.51job.com/guangzhou/102923151.html?s=01&t=0,Python留用实习生（接收转行+零基础）,06-02,4.5-6千/月,郑州-二七区,软件工程师
