0	113	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	15	48	109	108	228	282	387	507	702	981	1060	1229	1427	1430	1562	1692	1815	1911	2101	2264	2651	2879	2831	3030	3353	3845	4359	5070	5053	5740	5578	6079	6336	6730	7117	7720	8418	8397	8325	8489	8868	8934	9340	9163	9632	10568	11783	13976	16332	18252	21206	22652	24419	25535	25693	24458	21394	20445	19087	18509	18169	18909	19557	20538	19838	18088	14542	10999	7440	5159	3147	2118	1656	1516	1575	1600	1793	2184	2450	2824	3147	3258	3830	4063	4134	4570	5010	5278	5568	6099	6602	7031	7258	7932	8477	9025	9672	9632	9865	10287	10516	11020	10795	10604	10928	11263	11030	10631	10228	10300	9385	9256	9051	9078	8958	8991	8708	8122	7497	7629	6586	6071	5475	5313	4678	4755	4548	4409	4160	3807	3788	3546	3531	3416	3270	3079	3180	2778	2785	2710	2620	2525	2360	2111	2121	2063	1796	1809	1629	1540	1282	1338	1208	1102	1074	959	967	929	924	711	703	683	599	639	610	425	441	384	293	287	273	209	251	238	171	172	135	114	54	50	22	18	27	13	8	17	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105
1	84	44	0	0	0	0	0	0	6	17	23	70	184	296	267	413	499	606	704	941	1141	1237	1384	1617	1725	1733	2082	2198	2511	2866	2879	3477	3913	4103	4907	5182	6106	7231	7994	9050	11231	12022	14250	18247	22250	29786	44162	57776	77043	104716	119173	133643	150371	140437	129761	122106	94237	76621	53770	41757	37953	31326	30196	31302	30162	31980	39061	40604	44422	52052	52904	56377	61700	58979	59636	64110	58568	60326	54609	52051	49068	39820	33531	30659	24492	21518	20194	16813	14099	13149	10498	8924	7869	6033	5269	4717	3342	2668	1951	1622	1579	1401	1375	1484	1565	1601	1935	1975	2122	2391	2598	2821	3475	3587	4024	4814	5178	5679	6830	7323	8538	8896	9499	11170	11460	12078	13492	13737	15099	17306	17609	19269	20856	20188	21334	23781	22090	22608	23186	22641	23248	21110	19915	20532	17903	16422	16152	13042	12297	11792	10838	10165	10060	8931	9059	10131	9467	9774	11046	10560	10688	11689	10956	12684	11974	11892	13097	11807	12162	13318	11865	12250	12982	11666	11529	11430	10219	9902	9897	8743	8264	8281	7340	7285	6614	6311	6360	5640	5541	5555	5098	4918	5141	4511	4469	4580	4320	3973	4097	3830	3633	3940	3337	3807	3450	3363	3274	2816	2732	2651	2406	2273	2085	1927	1735	1831	1380	1178	6153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74
2	99	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	55	338	1894	7758	14482	22280	28140	34024	39105	46792	53309	62332	70150	71505	69012	56141	61204	57010	56603	60424	54898	70938	79222	75632	104440	126106	117381	136648	132903	113031	130060	130158	107763	115922	92491	101057	95844	77506	85701	68769	75390	70133	55331	59146	53582	40406	39185	29338	28178	22136	16633	10972	10133	8125	6083	6662	5383	4529	3487	2409	1326	1315	1082	905	717	778	683	771	786	756	969	932	981	970	1251	1109	1172	1405	1259	1477	1435	1786	2106	1848	2387	2457	2551	2650	2590	2589	2533	2487	2811	2451	2587	2917	2914	2544	2953	2863	2701	2560	2714	2608	2717	2610	2869	2766	3159	3165	3349	2980	3399	3623	4478	4489	4094	4706	5468	4954	5877	5853	5668	5578	5786	5843	6500	7218	6363	7326	7197	7673	8710	8622	8595	8745	8261	8128	7753	8716	10282	10428	10745	8856	7340	6249	5512	5169	4728	4118	3555	3102	3139	3249	2784	2881	3036	2504	2332	2169	1931	1466	983	236	84	0	0	0	0	0	0	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105
3	125	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	7	14	15	11	36	35	82	85	203	318	340	407	479	613	770	821	1060	1233	1449	1634	1776	2030	2288	2467	2807	2875	3773	4572	5226	6677	8814	10934	14535	18417	23357	26354	34880	38827	41824	40205	38195	33509	31215	29425	26804	25406	22672	25934	28536	31010	32000	32078	30120	27343	24104	21360	18133	16608	12532	8869	5911	3193	1932	1174	823	810	901	1094	1411	1940	2276	2625	3197	4001	4327	4849	5166	6208	6861	7341	8412	8821	9893	10324	10556	10898	10399	11799	11911	11758	11945	11981	12060	12109	12049	11639	11461	10154	10033	9571	9070	8596	7811	7129	6350	5868	5422	5154	5263	5014	4933	4938	4868	4720	4593	4634	4780	4444	4795	4826	4887	4467	4623	4524	4381	4331	4081	3475	3629	3440	3240	2997	2811	2713	2536	2339	2379	2198	2268	2101	1851	1924	1680	1621	1551	1304	1343	1125	1137	1166	1176	997	971	848	731	664	542	529	455	496	386	303	234	191	115	92	95	63	48	43	33	30	7	3	0	1	0	4	0	0	0	0	652	0	0	0	0	0	0	0	0	0	0	0	115
4	74	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372	6946	17383	21727	23742	28178	32995	30362	27827	30035	27041	27811	21924	20811	16368	14031	13206	14296	12436	11348	11149	10409	8933	9398	8731	8240	6135	5873	5624	4795	5281	4349	4043	2922	2271	1445	1380	1586	1269	1185	1263	1137	1182	1215	1185	1449	1252	1273	1473	1566	1808	2028	1784	1589	1523	1420	1319	1137	1316	1566	1562	1439	1569	1565	1433	1497	1599	1269	1141	1084	907	969	1116	895	931	993	1145	1157	980	1196	985	1037	821	811	915	862	982	820	925	813	751	970	875	1011	1030	1108	1202	1269	1140	1146	1177	1502	1698	1629	1571	1576	1712	1556	1674	1590	2107	1639	1231	1451	1526	1361	1181	1218	876	653	551	375	332	371	321	336	316	374	546	560	609	557	644	698	573	509	605	617	571	544	397	375	382	324	249	290	259	234	163	138	78	81	78	73	59	52	65	48	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80
5	52	23	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	31	248	811	1236	3700	5580	7024	9410	12045	11871	16699	25409	47311	79752	95602	94299	86374	86901	58216	58718	37534	22679	13285	11149	13141	16323	11684	7823	4605	4347	4528	4785	5202	5446	5769	4871	6325	6773	6543	6085	5512	5515	5410	4598	5660	6186	6172	6587	6137	6453	6384	6442	5533	6877	6691	6599	6296	6283	6409	6168	4879	5392	4833	4478	4567	4463	4418	4371	4296	3752	4666	4770	4288	3978	3592	3871	3874	2866	3558	3113	2853	2837	2714	2615	2445	2040	1666	1886	1620	1160	1129	949	833	942	761	1038	898	899	869	981	903	941	911	788	827	965	907	1034	795	909	870	667	637	628	601	661	571	471	508	448	373	455	371	406	362	429	362	389	271	327	322	248	207	158	180	190	181	164	221	161	166	166	154	107	81	47	37	41	27	26	18	28	31	35	20	18	43	29	29	25	28	30	22	26	32	17	30	34	28	34	33	17	31	42	17	21	25	17	46	24	23	12	22	35	7	11	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42
6	45	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	873	0	0	0	0	0	0	0	0	22721	85937	193774	177511	37873	7156	4024	1836	1117	1415	1503	1782	1868	1926	2387	2353	2542	3099	3180	3115	2829	3169	3455	3702	3351	2832	2991	3024	2824	2856	2983	2982	2850	3122	3279	3644	4081	4244	4743	4891	5143	5459	4252	4079	4468	4507	4349	4011	4060	4254	4676	4539	4505	4629	4846	4574	3707	3060	2805	2043	1319	1191	1175	1087	1098	1079	1134	972	945	971	817	792	879	710	847	625	610	510	509	487	515	435	330	331	394	301	334	333	319	291	216	236	159	207	157	124	59	52	40	31	53	30	23	26	32	40	51	71	74	43	16	17	15	27	45	62	23	35	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39
7	102	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	12	39	75	177	280	434	512	731	885	1026	962	1291	1524	1655	1867	2061	2467	3198	3599	3868	4455	4913	5691	6644	6557	8293	9816	11734	14207	18668	24816	34680	45883	54708	70965	77870	80306	72554	69551	61449	56471	53788	62713	68860	74086	72910	64052	59346	53390	47578	42106	42771	41489	40050	38538	35344	36778	36442	36168	32784	34117	33041	32945	32728	30155	29534	25442	20991	15747	14295	12677	11915	11056	9706	9970	9831	10196	10466	12344	14087	15064	15971	16123	18505	19160	20066	19086	21226	21117	20609	20397	18254	18359	17302	16151	14154	14136	12735	12037	11214	9827	9924	9762	9308	8417	9048	8832	8328	8470	8025	8500	8527	8484	8025	8590	8557	8476	8318	7410	7768	7360	7123	6197	6241	5950	5242	4438	4692	4357	3880	3720	3270	3356	3022	3088	2609	2527	2334	2391	2201	1979	2038	1753	1634	1518	1453	1405	1250	1164	964	995	868	742	697	699	524	563	352	255	320	262	216	144	112	101	112	57	28	14	22	16	6	0	0	3	0	5	0	0	0	652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86
8	70	30	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	16	164	159	208	374	745	1645	4539	4623	5990	6949	9071	11317	19375	21324	45879	87561	112414	115898	57318	64702	58731	50857	37340	34797	16057	14855	14501	13626	10485	9408	6459	7561	8611	8567	11619	7924	7595	6718	6370	5423	5893	3717	3603	3841	3869	3941	6078	4764	4950	5198	5169	7021	5438	5424	5375	5461	5842	7961	5934	5341	5571	5384	5058	6861	4982	4899	4767	3957	4917	3650	3398	3282	3500	3382	4767	3760	3844	4043	3999	3441	4827	3345	3442	3341	3110	4271	3438	3275	2995	3111	2782	4111	2758	2530	2207	2348	2045	2503	2016	1967	1932	1731	2249	1589	1606	1874	1724	1787	2247	1792	1649	1538	1545	1547	2020	1486	1196	1006	785	1021	705	602	570	605	560	903	699	675	619	553	557	720	567	493	531	472	728	444	509	433	425	477	685	422	421	502	480	450	716	486	450	449	455	624	423	403	407	393	402	519	404	452	349	375	277	375	307	292	323	285	348	249	223	205	188	165	246	163	216	181	201	134	161	126	120	91	74	104	41	54	49	45	79	49	27	24	12	35	28	31	29	31	14	23	18	29	33	43	18	24	36	40	18	27	14	30	10	3	3	52
9	112	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	3	9	8	8	13	1	13	37	44	70	156	240	229	477	649	783	1125	1419	1822	2551	3605	4635	6305	8737	10825	14953	19054	21877	23510	29493	30789	28538	27430	23542	19389	18863	18172	16341	17090	17861	17148	18705	20189	19340	22157	22251	22609	24438	25006	24023	26091	26060	23828	24661	22982	21352	16894	15947	12988	10603	9785	8006	6216	5098	3917	3041	2251	1637	1188	965	961	793	772	717	779	791	832	789	917	916	897	977	1020	1090	1056	1243	1278	1249	1466	1459	1456	1656	1719	1620	1840	2018	2019	2055	2206	2055	2201	2310	2129	2556	2486	2427	2803	2816	2870	2950	2940	3062	2783	2776	3110	2773	3165	3002	2579	2540	2363	2062	2322	2224	1765	2096	2084	2022	2074	2244	2152	2616	2776	2609	3080	3495	3736	4446	4997	5644	5604	6629	7129	7032	7947	7395	6645	6987	6631	6369	7018	6654	6483	6937	7276	6752	7126	7412	6343	6495	6774	5607	6041	5801	5317	5635	5518	5616	5243	5588	5686	5101	5386	5251	5222	5310	5043	4733	4982	4836	4303	4455	4159	4019	4043	3896	3388	3630	3296	2762	2803	2800	2445	2464	2279	2145	1837	1875	1571	1399	1505	1178	1090	1143	861	939	854	18287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90
