0	69	57	0	0	0	0	0	6	24	16	72	134	337	638	1128	1864	3701	5127	5738	8295	10766	14116	18157	22261	28221	34109	39202	43592	48512	59277	73620	67586	51597	47465	53225	51922	44314	33666	30197	19242	7033	3105	2599	2554	2446	2761	2700	2630	2519	2753	2598	2688	2664	2964	2984	3051	3279	3503	3597	3757	3681	4019	4237	4182	4056	3899	4073	4334	4052	4273	4647	4283	4072	3867	3779	3675	3834	3648	3726	3667	3591	3714	3822	3680	3681	3539	3387	3527	2856	2862	3007	2952	2979	3132	3243	3047	3170	3161	3254	2946	3173	3377	3486	3485	3873	3537	3571	3700	3517	3467	3474	3509	3369	3259	3550	3545	3410	3648	3694	4041	4203	4512	4158	4464	4351	4573	4379	4799	4568	4727	4906	5230	5511	5143	4958	4905	4538	4417	4898	4517	4602	4598	4747	4380	4258	4103	3875	4042	3947	3746	3784	3496	3617	3480	3520	3685	3420	3414	3391	3458	3372	3348	3354	3256	3434	3258	3171	3339	3322	3464	3419	3233	3589	3143	3270	3192	3141	3226	3341	3048	3136	3060	3195	3303	3413	3502	3335	3499	3569	3273	3212	3123	3050	2888	2689	2752	2486	2260	2239	2192	2048	2093	1788	1833	1708	1701	1597	1421	1248	1238	1243	1248	1199	1105	1176	1057	951	903	889	974	875	805	836	847	661	738	749	669	781	773	683	686	650	534	559	438	421	438	323	325	286	268	203	200	166	147	81	116	73	44	63	26	33	29	18	17	6	51
1	42	56	9621	9122	21599	32445	39871	50553	61675	76652	103865	131581	161069	207033	251790	295868	276114	191433	200902	252438	297947	258943	101466	34835	14410	5356	4381	4723	5055	5716	6163	7007	7474	7737	8743	9331	10399	10350	10723	10474	10184	9994	9885	9600	9522	8942	9167	8677	9046	9061	8941	7875	7138	7609	6487	6045	6008	5484	5486	5253	5383	5192	5240	5253	5573	5474	5520	6062	6461	6630	6996	6624	6894	7280	6951	6863	6976	6887	6661	6550	6730	7045	7343	7148	7406	7205	7300	7616	6907	6996	7164	6922	6864	6516	6494	6551	6369	6512	6335	6130	6533	6479	6326	6269	6618	5800	5727	5654	5822	5756	5228	5113	4902	5080	4924	5095	5189	5014	5119	5056	5179	5600	5448	5398	5398	5321	4962	4862	4889	4650	4825	4714	4819	4976	5070	5259	5262	5494	5847	5533	5777	5810	6086	5921	6144	5871	5595	5550	5699	5260	5466	5223	5089	4991	5026	5590	5045	5317	5137	5297	5316	5007	5288	5312	5204	5217	5208	5386	5268	5581	5438	5511	5764	5428	5269	5296	5048	5299	4737	5030	4764	4776	4783	4981	4809	5140	5133	5059	5052	5626	5250	5523	5926	5867	5742	5820	5970	5937	5808	5587	5477	5551	5492	5410	5353	5297	5534	5202	4786	4659	4238	3920	3438	3331	3155	2838	2557	2522	2313	2259	2207	2163	1958	2075	1954	1839	1921	1887	1818	1876	1904	1845	1782	1869	1885	1728	1797	1842	1785	1740	1838	1717	1656	1614	1422	1258	1208	936	905	716	713	535	504	374	371	233	231	24
2	41	50	5396	5516	8904	15262	21913	28266	35132	42737	48064	58551	70037	85447	107038	123745	145702	178211	227113	310576	296984	243061	213159	221600	254849	235874	203598	153142	113926	80448	72608	55409	24228	9599	6953	7016	7938	8103	8961	9319	9625	10124	10478	11435	12053	12205	12788	12582	12059	11450	11093	10381	10653	11438	10249	9509	8716	8222	7845	7810	7374	7451	7347	7269	6643	6449	6480	6806	6704	6726	7719	7607	7600	7411	7009	6770	7007	6847	6814	7058	7348	7385	7229	6847	6471	6011	5845	6237	5571	5783	5786	5910	5864	6220	6057	6028	5886	6165	5828	6051	6337	6216	5797	5840	6206	5767	5943	5568	5809	5895	5868	5736	5746	5917	6096	6295	6046	6262	6512	6183	6133	6460	5809	6240	6146	6027	6132	6343	6068	6021	5820	5734	5633	5111	4920	4750	4418	4498	4847	4791	4691	4646	4779	4830	4986	4879	5359	4921	5331	5371	5361	5234	5368	5389	5292	5762	5392	5319	5368	5201	4955	4774	4588	4464	4308	4370	4392	4442	4131	4144	3649	3460	3376	2840	2754	2861	2860	2996	3049	3066	3456	3292	3475	3458	3477	3675	3693	3685	3572	3999	3711	3896	3707	3892	4271	4416	4559	4590	4911	5008	4825	5335	5328	5577	5495	5420	5769	5162	4736	4495	4436	4264	3880	3440	3294	3235	2973	3089	2727	2804	2520	2492	2538	2420	2277	2234	2145	2197	2196	2089	1899	1946	1959	1977	1962	1878	1763	1660	1736	1790	1763	1717	1547	1431	1504	1441	1295	1284	1267	1117	938	815	644	613	438	355	267	25
3	41	49	3940	3722	6563	10089	16155	24074	31253	35630	43235	51570	62738	75408	91771	103733	125374	155233	171400	200854	174498	194223	196167	169272	149061	126310	106681	119072	123811	101066	78339	51856	23807	8645	4993	4635	5111	4813	5213	5311	5899	6239	6686	6851	7394	7484	7147	6728	6639	6916	7244	7169	6961	7228	6680	6571	6242	6599	6488	6078	5369	5309	5054	4757	4929	4874	4977	4367	4190	4287	4459	4129	4150	4306	4245	4173	4331	4183	4656	4465	4759	5096	4994	5361	5293	5297	5275	5813	5477	5240	5272	4959	5108	4995	4774	4933	4666	4412	4621	4298	4444	4326	4288	4375	4783	4584	4573	4777	4700	4459	4516	4501	4518	4469	4500	4462	4332	4353	4369	4298	4258	4517	4205	4338	4422	4447	4273	4131	4256	4280	4305	4139	4083	4334	4288	4280	4482	4290	4843	4662	4685	4530	4202	4213	3897	4075	4109	4112	4206	4507	4215	4225	4244	4347	4303	4298	4145	4218	4084	4408	4582	4729	4739	4814	4499	4694	4369	4424	4426	4360	3918	3901	3868	3402	3359	3077	2909	2849	2837	2561	2445	2533	2327	2387	2412	2373	2292	2183	2296	2504	2290	2400	2431	2658	2753	2806	2744	2930	2787	2618	2671	2699	2806	2735	2854	3042	3152	3101	3123	3311	3137	3168	3139	3114	3074	2933	2797	2518	2420	2182	2150	2015	1870	1879	1782	1575	1563	1506	1439	1511	1370	1349	1372	1456	1311	1416	1362	1302	1219	1167	1208	1134	960	910	704	652	579	389	373	294	160	168	83	110	75	35	42	27
5	36	47	1816	6846	8219	13560	18821	24741	34637	46452	55986	67915	86077	119926	182308	281758	336876	288229	285635	343864	340049	377278	477953	380977	193007	146232	134261	140009	147686	117818	76864	63868	63781	46112	26887	15829	13151	12875	13085	13178	12338	11780	11042	10626	9937	9203	8818	8499	8195	7491	6988	6714	6161	6392	6204	6075	6048	5774	5732	5880	5664	5923	6589	6695	6517	6726	7281	7758	7967	7449	8275	7549	7794	7847	7891	7982	8270	8381	8499	8155	7775	7225	6947	6529	6188	6217	6194	6853	6438	6292	6069	6177	6156	6116	5881	5969	5671	5679	5607	5535	5425	5482	5628	5693	6048	5556	5594	5332	5239	5000	5479	5233	5018	5018	4918	4700	4569	4635	4592	4208	4207	4323	3991	4096	4045	4083	4029	3955	3716	3616	3610	3758	3788	3837	3968	3987	3906	3939	4231	4062	3993	3964	4001	4318	4545	4552	4445	4509	4678	4745	4866	4825	4845	4640	5047	5482	5473	5409	5706	5556	5527	5691	5675	5865	5735	5675	5899	5940	6093	5838	6153	6151	6721	6155	5655	5560	5424	4742	4601	4301	4051	3892	3885	3974	4073	4211	3996	4234	4154	4669	4248	4564	4406	4870	4875	4735	4960	4787	4684	4948	4809	4758	4782	4733	4897	5070	5365	4743	5017	4995	4755	4572	4349	4226	4031	3706	3381	3375	3335	3110	2800	2822	2723	2977	2784	2634	2647	2695	2552	2674	2260	2422	2428	2471	2526	2488	2205	2048	1867	1583	1554	1270	1069	985	756	708	622	542	508	472	348	382	309	290	279	236	203	18
6	53	51	221970	43093	49583	55023	62426	72058	72510	78474	83143	85277	81736	79960	64833	53365	44966	38874	34406	36851	34745	36067	37238	40274	44965	44900	46544	46280	45268	43026	43420	39183	37575	36631	35717	33293	33161	30326	28568	26333	24501	25027	21983	20028	19462	18870	18637	20257	19095	18657	17618	17361	16627	16785	14813	14515	13865	13402	13916	12362	12115	10848	10378	9653	9567	8273	7783	7270	6336	5187	4631	2912	2275	1997	1965	2097	2251	2551	2678	2973	3192	4049	3996	4475	5180	5829	6613	8109	7995	8475	8795	9329	10642	9644	10308	10620	11366	11801	14055	14624	15730	17089	18092	19101	21218	20186	19965	19907	19755	21708	20049	19142	18572	18195	17428	17769	15171	14342	13636	12868	12597	13134	12299	11860	10918	11276	11803	11173	11498	11287	11635	11780	13388	12796	13056	12908	13384	13200	14326	12896	13033	13425	13278	13732	12658	12063	11508	11561	11440	11724	10084	9804	9128	8939	8700	9074	7906	7117	7028	6393	6820	6181	5732	5433	5188	4976	5079	4437	4530	4080	3931	3795	4084	3581	3492	3678	3382	3685	3408	3358	3205	3153	2908	3124	2842	2639	2613	2321	2325	2224	1776	1855	1510	1340	7919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51
7	46	61	0	0	11	53388	102574	107177	82794	55583	47184	40335	41021	30073	15813	12975	10921	5830	3100	1792	1728	1667	1813	1920	2111	2172	2258	2393	2151	2025	1797	2272	2034	2173	2114	2379	2068	2211	2057	2141	2063	2400	2237	2328	2313	2154	2165	1946	2582	2216	2615	2379	2427	2589	2651	2248	2154	2232	1878	2054	1847	1974	1713	1376	1300	1252	1353	1209	1216	1102	1158	1119	1258	1379	1422	1374	1436	1162	1399	1372	1363	1078	1434	1509	1364	1542	1414	1596	1643	1351	1730	1381	1663	1382	1653	1484	1469	1682	1252	1644	1580	1715	1723	1638	1758	1562	1839	2039	1905	2142	1748	1847	2375	2032	2497	2267	2313	3003	2526	3184	2714	2919	2195	2588	2124	2482	2011	2264	2048	2473	2150	2696	2768	2524	2980	3165	2767	3509	3470	3175	2734	2728	2276	2237	2148	2077	1926	1582	1614	1471	1384	1526	1394	1626	1672	1810	1343	1628	1192	1428	1228	1427	1373	1120	1518	1631	1648	1871	1835	1621	1547	1881	1628	1785	2034	2060	1799	2027	1895	2202	2093	2097	1985	2085	1899	2006	1791	1862	1896	1917	1823	1822	1975	1728	1672	1830	1911	2053	1827	1511	1538	1255	1142	1229	1116	983	955	808	787	757	712	638	544	529	615	568	592	535	463	386	336	237	234	277	179	173	141	76	86	47	12	7	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
8	40	53	1085	1326	4977	19583	27081	33889	43717	57716	76181	99130	123468	145067	180397	222700	288727	341252	206390	160511	162474	219364	247261	117064	39485	12956	4813	3788	3735	4135	4406	4777	5235	5568	6071	6580	7440	7836	9060	9384	10252	10688	10962	10997	11185	11389	10632	9809	8902	8188	7990	7262	6672	7104	5893	5500	5116	5053	5085	5094	4844	4692	4700	4679	4825	4937	5124	5266	5569	5803	6357	6309	6646	6956	7341	7459	7270	7590	7684	8354	8316	8158	8404	8247	8151	8436	8772	8795	8074	7885	7410	7449	6984	7092	6525	6883	6401	6136	6090	6088	6244	6142	6020	6031	6296	5391	5194	4924	4976	4480	4355	4125	3704	3693	3605	3453	3197	3152	3047	3057	2931	3267	3196	3265	3203	3294	3538	3338	3261	3231	3130	3254	3005	2764	2665	2757	2665	2823	2923	2869	2898	2792	3141	3071	3216	3342	3543	3425	3593	3379	3542	3811	3798	3961	3836	4373	4065	4317	4248	4239	4270	4546	4536	4337	4557	4389	4434	4130	3869	3995	4055	4270	4399	4352	4337	4585	4773	4747	5023	4714	4897	4735	4602	4182	4099	3914	3689	3515	3295	3727	3247	3215	3344	3464	3436	3522	3571	3715	3746	3767	3811	3826	3693	3743	3646	3705	3931	3734	3565	3664	3501	3605	3380	3272	3146	3073	2522	2633	2219	2268	2089	2122	1951	1990	1924	1808	1799	1707	1770	1685	1692	1692	1581	1631	1677	1639	1622	1617	1487	1441	1479	1407	1331	1476	1410	1209	1121	1106	919	775	723	515	402	265	220	151	201	22
9	44	51	1320	1929	7297	12128	15878	20670	27851	37754	48090	57721	71483	86669	110727	150699	206644	197515	140858	151757	181078	152882	107578	99281	99727	102486	105805	112176	105029	94986	84212	74767	72819	60433	34866	13227	7887	7396	7250	7176	7379	8106	8658	8575	9155	9287	9602	9450	10186	10695	10763	10849	10580	11229	10313	10352	10117	9641	8705	8490	7875	7133	6571	5686	5362	5063	4674	4661	5014	4719	4964	4966	4713	4395	4528	4587	4447	4521	4783	4522	4667	4992	5426	5744	5828	5950	6426	6888	7439	7609	7578	8182	7782	7527	7318	6922	6541	6429	6042	5910	5902	5608	5694	5525	5899	5678	5869	5848	5838	6045	6214	5935	5989	5753	5450	5030	4909	4845	4898	5084	4700	5379	5260	5162	5043	4912	5059	4970	4938	4886	5102	4993	5140	5257	5592	5628	5666	5639	6179	5809	5946	5767	5742	5947	5730	5499	5364	5182	5124	5254	5188	5293	5472	5322	5495	5954	5743	5710	6001	5735	5197	4978	4778	4425	4304	3914	3542	3808	3805	3836	3868	3903	4164	3973	4173	4064	3989	4113	4185	4076	3997	4274	4071	4286	4341	4257	4110	4007	4257	4501	4326	4061	4303	4031	3861	4133	4281	3966	3871	3826	3933	4087	4106	3882	3769	3672	3993	3460	3218	3167	2878	2611	2487	2306	2253	1997	2007	1900	1738	1783	1665	1598	1651	1605	1519	1434	1462	1325	1341	1270	1205	1046	1123	1177	1149	1170	1044	1026	929	762	778	624	543	486	543	441	307	367	306	239	270	209	183	216	152	126	108	28
10	46	57	18202	10299	19964	30368	35724	43114	53831	65224	76783	95486	117306	140118	166215	203398	254540	254894	191998	218982	276937	302099	132368	61563	43574	31789	14946	8621	8953	9706	11173	12889	15010	16379	17054	16548	17924	17105	15774	15441	14863	14565	13505	12735	11977	10345	9425	8522	7979	7603	7595	7712	7113	7400	7060	6900	6894	7358	7218	7031	7007	7730	7831	8691	9069	9416	9192	9325	9917	9838	9969	9221	9287	9226	9025	8485	8525	8816	9447	9016	9029	9170	9027	8988	8789	9107	8218	8296	7599	7015	6558	6754	6714	6280	6321	6098	6209	6136	6195	6203	5945	5860	5590	5768	5967	5551	5561	5750	5836	5675	6072	5774	6133	6200	6367	6515	6320	6339	6268	6136	6400	6689	6546	6514	6459	6290	6225	6017	6272	6002	5961	5543	5472	5241	5036	5065	5542	5450	5696	5272	5018	5279	5183	5212	5327	5404	5764	5825	5948	6282	6117	6607	6633	6506	6956	7437	6862	7139	6869	6906	6993	7157	6947	7083	6858	6168	6095	5592	4932	4574	4344	4144	4229	4082	4010	4147	4386	4336	4471	4536	4611	4615	4719	4625	4973	5072	4938	4970	4865	5141	4851	4847	5107	5289	5091	5339	5223	5488	5340	5235	5185	5289	4972	4943	5191	5519	5447	5011	4860	4736	4556	4493	4283	4015	4026	3688	3808	3818	3521	3561	3521	3316	3051	3462	3054	3128	2905	2876	2881	2665	2539	2624	2564	2342	2471	2557	2506	2455	2300	2276	2013	1963	1691	1489	1376	1075	973	895	685	595	486	428	376	324	228	259	215	24
