0	43	52	11523	1080	2078	4433	7052	11817	20349	23783	27843	32729	39076	48714	61681	77084	96316	127732	165197	223767	202366	169981	175172	189464	204951	162922	130433	55878	11555	5654	5834	6151	6741	7277	7869	8445	9721	9255	9303	9458	9544	9257	9451	8495	8261	7621	7537	7574	7318	7344	6855	6464	5731	5154	4407	4516	4120	4158	4325	4311	4265	4457	4473	4574	4737	5044	5101	5303	5112	5102	5433	5149	4982	5455	5295	4963	4884	4457	4733	4852	4688	4890	4667	4888	4713	4780	4893	5155	4880	4979	4800	4646	4588	4601	4918	4376	4460	4426	4437	4246	4138	3941	3741	3746	4219	3635	3540	3456	3483	3384	3376	3411	3185	3128	3122	3066	3056	3140	3309	3504	3710	3993	3878	3646	3673	3919	4094	4139	4276	4076	4203	4144	4229	4247	4370	4311	4281	4367	4446	4613	4452	4760	4347	4038	3957	3897	3876	3678	3614	3708	3637	3697	3757	3620	4196	4215	3700	3665	3469	3413	3129	2814	2575	2546	2435	2283	2205	1953	2147	2127	2302	2358	2597	2593	2581	2687	2652	2721	2694	2845	2703	3035	3055	3340	3450	3353	3826	3903	4010	4497	4379	4177	4312	4201	4311	4356	4293	4070	3928	3710	3428	3723	3256	3170	2862	2658	2740	2428	2335	2362	2308	2135	1898	1828	1819	1772	1461	1510	1360	1418	1394	1381	1279	1265	1169	1145	1104	971	1075	1069	1012	861	916	921	1033	802	875	831	797	855	870	661	592	570	592	489	392	405	377	336	347	269	207	212	150	134	106	21
1	44	52	15643	3087	6560	8548	12138	18442	26343	32423	40838	47534	55035	61711	69185	82128	104010	121535	141375	184374	200048	160040	152600	159808	169184	176378	176517	142085	110230	84732	76671	78650	69097	42773	14236	5241	4766	4933	5639	6567	6999	7348	7531	8029	8381	8794	8853	8517	8664	8850	8673	8329	7887	8097	7675	7738	7114	6622	6327	6023	6094	5748	5377	5273	4854	4691	4414	4451	4277	3962	4422	4284	4579	5095	5132	5683	5814	5671	5776	6115	6058	6375	6437	6621	6390	6291	6425	6369	5623	5212	4592	4349	4110	3685	3565	3303	3509	3601	3637	3535	3516	3661	3783	3974	4201	4007	3993	4134	3841	4067	3928	3864	3798	3890	4107	4025	4365	4267	4462	4502	4576	5029	4664	4790	5164	4972	4754	4837	4972	5051	5221	5366	4976	4978	4749	4632	4528	4374	4680	4555	4600	4329	4362	4431	4295	4159	4450	4364	4436	4357	4374	4609	4721	4722	4474	4605	4381	4549	4632	4500	4846	4485	4607	4501	4543	4464	4611	4850	4668	4604	4396	4500	4309	3837	3374	3212	2981	3030	2952	3039	2933	3170	3186	3306	3245	3462	3582	3514	3772	3842	3703	3574	3586	3565	3430	3570	3427	3411	3204	3631	3271	3308	3201	3110	3296	3055	3321	3064	3153	2892	3154	3141	2965	3168	3061	3176	3165	2985	2933	2681	2476	2316	2276	2268	2053	2064	1863	1813	1726	1839	1552	1696	1633	1461	1512	1619	1426	1498	1331	1263	1257	1042	941	786	719	554	409	299	264	152	145	133	101	161	111	83	65	30
5	54	58	7644	0	0	17	182	675	2505	12893	37640	54474	61835	54825	47200	42547	40900	36271	38422	39180	45498	42247	43263	37971	41840	34269	37471	29674	25813	23155	20233	15250	16110	0	12800	11582	12498	9810	9472	9424	9629	9445	9691	8668	11006	9882	12065	10526	11851	10022	11164	8747	8319	8126	7504	7170	6696	6465	6062	5850	5631	5782	5845	6191	5952	0	4985	6321	6700	7281	5739	7223	7286	5642	6751	5212	6125	4875	5869	4758	5540	5402	4242	3979	4790	3319	3986	2790	3001	2412	2128	2444	1841	2192	1632	1641	1989	0	1655	1845	1428	1462	1797	1426	1357	1736	1373	1815	1449	1471	1666	1365	1363	1724	1366	1741	1395	1487	1670	1438	1724	1539	1833	1341	1842	1422	1759	1496	1756	0	1556	1776	1955	1431	1946	1864	1671	2027	2149	1702	2374	2295	2494	2008	2431	2701	2611	2602	2781	2552	2549	2289	2485	2544	2512	2526	3275	2776	2812	2966	3415	0	2889	3851	3183	4091	3314	3746	3136	3564	3689	3339	3268	3486	3309	3376	3388	3509	3373	3438	3867	3162	3717	3409	4003	3860	3995	3854	3597	3433	3196	3389	3042	0	3423	2987	3231	3079	3006	2864	2854	2507	2722	2301	2155	1861	1691	1800	1348	1594	1425	1353	1271	1103	1241	1030	1279	1248	1182	1486	1112	1115	1046	949	1105	0	1111	961	793	741	642	606	528	399	218	148	54	14	22	21	5	10	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
6	35	45	7677	0	0	0	0	0	0	0	240	25325	102709	138225	172494	192756	204900	161890	104009	51227	27024	14652	7554	3081	2022	1334	1257	1350	1226	1419	1525	1751	1797	2161	2676	3348	3130	2831	2589	2424	1953	1850	1919	1836	1900	1987	2194	2552	2482	2851	2892	2786	3295	2653	2491	2172	2048	2179	2015	1739	2048	1842	1925	1772	1777	1946	2207	2071	2134	2105	2263	1940	2508	2550	2744	3101	2830	3349	3683	3508	3668	3429	4051	3865	4288	3535	3514	4083	3289	3453	4218	3356	3493	3627	3028	3128	2929	3260	2973	3141	2985	3156	3512	2862	2839	2803	2768	3182	3094	2907	2802	2722	2764	2286	2292	2521	2412	3014	2643	2654	2768	3162	3043	2701	2933	3478	2795	2875	3493	2876	3402	3188	3624	3052	3077	3365	3430	2871	3138	2736	3189	2899	2627	2796	2789	2642	2431	2489	2515	2312	2333	2169	2086	2065	1769	2075	1621	1645	1707	1428	1561	1221	1464	1299	1130	1024	1079	1037	1066	1136	1013	960	1003	802	866	705	790	780	721	669	659	773	736	704	726	778	585	671	608	682	492	562	463	439	409	398	367	435	350	348	370	484	409	405	359	299	339	256	248	292	227	238	242	235	131	110	84	57	42	37	51	18	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
7	112	53	9792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	16	0	32	54	75	145	236	358	0	342	516	845	936	1202	1587	0	1806	2122	2591	2656	3535	3911	0	4271	5453	6078	7352	9578	11563	14726	0	20293	24279	30558	39546	43091	50325	0	47887	46732	48178	44368	45431	52101	0	53870	56712	62222	57489	60265	52120	47209	0	45477	38762	35740	37390	33833	33903	0	36028	34612	38343	37280	39622	44531	0	42867	44351	47891	42375	40484	38756	0	31799	25959	21416	15708	12095	7845	5370	0	3676	2112	1748	1359	1162	1144	0	1139	1073	1149	1086	1178	1308	0	1235	1336	1546	1499	1654	1877	2011	0	2061	2231	2337	2666	2622	2948	0	3332	3364	3902	4333	4428	5027	0	5962	5762	6664	6870	7700	8602	0	8613	8371	9282	9375	9584	10690	10161	0	11377	10465	10771	11525	11001	11638	0	12855	12303	12756	14036	12834	13223	0	13596	12639	13100	11957	11305	11894	10037	0	9918	10252	9858	9483	9913	8590	0	9132	8613	8635	9516	8753	8661	0	9886	8953	9932	10852	9623	9854	0	10861	9938	10546	9631	9859	10499	9675	0	9421	9855	8723	8319	8245	7241	0	7263	6174	5930	5958	5507	5120	0	5059	4324	4172	4135	3570	3610	3265	0	3056	3166	2872	2728	2852	2491	0	2208	2260	1858	1932	1913	1592	0	1522	1428	1335	1390	1091	886	0	106
8	37	35	12459	0	10	342	1404	3213	4438	6619	10252	12899	14302	16213	18568	21144	25273	27204	31352	37451	45258	61607	112043	222596	376418	452592	416712	334258	273029	203811	124288	55392	20792	10750	9825	10534	13908	16174	17786	18234	18113	17301	15514	13239	12186	11157	10835	9988	10156	10095	10495	10297	10550	10843	10737	11350	12005	11436	11462	10923	11169	11595	11971	11810	11443	10952	10759	10020	9429	9567	9127	8953	8987	8781	8584	8176	8071	7765	7832	7461	6894	6508	6281	6518	6117	5484	5326	5440	5277	5095	4737	4796	4524	4511	4425	4583	4692	4530	4783	4573	4629	4321	4225	4281	3908	3781	3741	3803	3994	4205	4614	4443	4426	4818	5159	5043	5080	5085	4811	4704	4419	4353	4269	4486	4349	4518	4893	4458	4455	4559	4147	3968	3861	3693	3641	3371	3497	3320	3086	3183	3074	3099	3003	2747	2593	2546	2505	2557	2482	2368	2466	2397	2258	2504	2460	2236	2279	2246	2115	2201	1976	1950	1799	1723	1634	1652	1644	1550	1614	1645	1721	1626	1548	1635	1313	1338	1344	1153	1133	1076	1233	1198	1194	1033	1072	985	1146	1050	1101	1034	939	836	891	762	693	584	556	532	579	486	463	525	531	598	506	640	533	563	437	501	439	314	211	168	157	54	28	23	13	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
9	49	57	10315	146	427	1077	2987	6700	13266	19022	25930	36726	43827	50861	63828	76407	93378	124216	153933	205599	238382	238305	196415	116295	38567	8476	4459	4282	4372	4465	4951	5392	5725	5871	6181	6992	8252	8416	9699	10978	12436	11650	12021	12212	12401	11645	11136	10301	9431	8899	8307	7505	6918	7006	5712	5879	5721	5290	5159	4847	4755	4782	5094	5239	5498	5584	6015	5880	5782	6087	6845	6342	5599	5915	6098	5988	5666	5761	5377	5454	4940	4717	4551	4527	4678	4615	4497	4867	4646	4632	4778	4504	4543	4795	4558	4619	4540	4368	4475	4484	4560	4584	4676	4732	5097	4604	4723	4443	4440	4576	4389	4351	4343	4270	4277	4110	4121	4313	4470	4637	4470	4932	4829	5039	4980	4982	4931	5319	5226	4996	5201	5223	5381	4959	4930	4563	4511	4595	4747	4299	4158	4227	4398	4175	4342	3965	4043	4144	3947	4131	3988	4133	4312	4359	4436	4368	4269	4074	3528	3329	3196	3165	3070	3113	2799	2772	2788	2599	2581	2578	2550	2756	2909	2678	2852	3101	3333	3490	3597	3678	3827	4052	4038	4040	4171	4235	4235	4493	4274	4583	4209	4149	4403	4228	4443	4448	4129	4391	4183	3988	3853	3565	3622	3290	3146	3115	2985	2606	2564	2252	2055	2115	2055	2100	1893	1934	1833	1707	1734	1703	1590	1755	1461	1578	1373	1344	1462	1294	1308	1077	1152	1084	1028	1001	985	1050	884	799	686	662	571	543	452	420	446	337	292	177	143	202	160	82	126	62	53	49	34	23
13	40	49	12241	182	633	1210	3163	8154	12835	18627	24396	34306	45065	59922	74462	83418	101383	129640	165778	233132	267939	226292	198439	227753	262230	235300	177773	147163	114680	86632	84945	91137	64603	24121	10007	9179	9920	10256	11132	10894	10680	11069	10263	10004	8973	8117	7272	6759	6424	6000	6270	5958	5487	5803	5527	5659	5445	5431	5073	4676	4653	4586	4618	4597	4620	4100	4276	4360	4266	4558	5343	5154	5595	5839	6179	6425	6362	6042	6141	6087	5881	5869	5975	5637	5943	5942	5432	5757	5324	4961	5099	5272	5264	5301	5051	5159	5063	5012	5261	4948	4818	4514	4488	4534	4578	4345	4484	4638	4615	4823	4693	4798	4767	4705	4885	4611	4624	4800	4587	4266	4321	4260	3914	3597	3479	3276	3033	3265	2934	3174	2807	2996	2954	2878	3071	3212	3062	2824	3144	2840	2908	2876	2995	3115	3011	2874	2965	2783	2895	2835	3098	2996	3144	3178	3299	3728	3588	3744	3704	4107	4390	4336	4007	4153	4260	4216	4296	3815	3989	3749	3762	3585	3702	3256	3365	3365	3378	3566	3157	3165	3306	3263	3099	2830	2866	2890	2939	2968	2841	3311	3158	3305	3263	3435	3375	3430	3661	3628	3836	3809	3984	3886	3859	3744	3877	3913	4098	3725	3907	3658	3390	3450	3211	3167	2955	2741	2738	2571	2323	2198	2090	2285	2027	2053	1741	1711	1700	1476	1473	1261	1198	1275	1266	1001	1099	1002	959	1014	978	970	1000	857	767	706	678	640	519	538	474	440	339	352	291	239	249	197	209	22
14	84	45	11970	0	0	0	0	0	6	17	23	70	184	293	267	411	499	602	703	930	1135	1230	1373	1604	1720	1730	2076	2192	2509	2855	2870	3476	3902	4087	4871	5100	5981	7034	7775	8782	10907	11660	13840	17854	21918	29531	43965	57693	76976	104663	119115	133610	150324	140383	129692	121996	94075	76470	53584	41524	37574	30907	29726	30953	29949	31762	38890	40504	44337	51955	52858	56301	61632	58834	59436	63833	58168	59683	53612	50798	47619	38478	32319	29721	23695	20930	19581	16329	13718	12784	10138	8533	7618	5823	5089	4566	3237	2586	1903	1585	1546	1386	1366	1462	1559	1583	1926	1965	2109	2370	2581	2783	3433	3561	3991	4777	5125	5645	6773	7219	8419	8823	9417	11119	11360	11993	13411	13648	15014	17204	17551	19189	20783	20137	21297	23728	22049	22530	23137	22603	23222	21062	19875	20485	17893	16400	16133	13034	12279	11766	10821	10149	10044	8919	9037	10112	9455	9751	11034	10545	10678	11677	10945	12679	11971	11889	13090	11802	12159	13313	11848	12237	12978	11651	11525	11423	10213	9897	9892	8742	8264	8275	7334	7281	6608	6308	6355	5637	5528	5544	5091	4916	5139	4510	4452	4575	4320	3970	4097	3823	3629	3940	3337	3805	3450	3363	3274	2816	2732	2651	2406	2273	2085	1927	1735	1831	1380	1178	6153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84
19	44	54	14188	3216	6359	14247	26385	32779	40049	49664	64408	82774	98486	119426	158490	154326	116981	122974	155312	216412	184663	111225	104787	83521	77815	68175	50520	16821	6927	6250	6576	6655	6868	7592	8104	8507	9560	9369	10262	10858	12261	11932	11651	11551	11291	10271	10435	9748	9628	9132	8874	8687	8212	8096	7349	6817	6457	6238	6052	5530	5626	5718	5830	5945	5710	5834	5795	5536	5512	5192	5666	5338	5269	5374	5401	5595	5722	5996	5854	6388	6429	6535	6891	7418	7834	7902	7772	7623	6392	6384	5736	5441	5292	4912	4632	4502	4668	4795	4823	4908	4745	4520	4243	4336	4589	4024	4062	4468	4225	4339	4469	4489	4627	4871	4882	4592	4773	4839	5095	5001	5122	5499	5010	5215	5348	5200	5149	5026	4735	4712	4629	4335	4445	3965	4291	4313	4681	4528	5278	4590	4697	4790	5083	5001	4866	4972	4894	4776	4956	5115	5131	4931	5299	5293	4936	5269	5249	5340	5129	4980	4723	4238	3969	3732	3278	2910	2651	2947	2831	2994	2934	3110	3330	3092	3242	3184	3101	3213	2971	3208	3302	3226	3650	3637	3634	3725	3905	4005	3837	4223	4112	4456	4380	4542	4411	4185	4196	4077	3835	3726	3402	3309	3122	2908	2544	2376	2602	2351	2046	2059	1976	1701	1646	1537	1522	1356	1415	1404	1403	1290	1322	1213	1190	1242	947	1057	997	1016	958	1066	1052	1007	841	839	825	734	781	633	667	570	544	391	335	318	339	257	264	175	155	99	111	118	102	116	64	71	65	24
